gender,age_range,marital_status,disability,district,father_education,mother_education,household_members,economic_dependency,health_insurance,chronic_disease,academic_program,current_term,enrolled_courses,gpa,failed_course,class_attendance,career_satisfaction,personal_motivation,teacher_motivation,thought_about_dropout,dropout_reason,dropout_thought,transport,commute_time,internet_access,study_space,library_use,academic_tutoring,university_support,housing_type,personal_income,family_income,scholarship,currently_working,work_hours,affects_study,study_hours,university_harassment,demotivation,academic_stress,emotional_support
Masculino,26-30,Soltero(a),No,Pachacámac,Primaria,Secundaria,1-3,,EsSalud,No,Ingeniería de Software,1.0,4-5,10-12,No,3.0,2.0,4.0,4.0,No,Placeat quo temporibus cumque animi labore repudiandae qui.,No,Público,>1 h,Sí,No,1.0,No,1.0,Alojado,<500,1000-2000,No,No,<10,No,<5,No,No,Sí,Sí
Femenino,21-25,,No,Puente Piedra,Secundaria,Secundaria,6+,Mayormente dependiente,Privado,No,Ingeniería de Software,3.0,4-5,10-12,No,5.0,4.0,4.0,2.0,No,Dolorum nesciunt incidunt sit sit eveniet nesciunt velit commodi.,No,Público,<30 min,Sí,Sí,3.0,Sí,2.0,Propia,<500,>4000,,Sí,<10,No,5-10,No,No,Sí,No
Masculino,21-25,Soltero(a),No,Pachacámac,Técnico,Universitario,4-5,Minimamente dependiente,EsSalud,No,Ingeniería de Software,,3,13-15,Sí,3.0,2.0,4.0,4.0,,Delectus atque non voluptas dolore possimus ex asperiores a doloribus.,Yes,Público,30-60 min,No,No,2.0,No,3.0,Residencia,<500,2000-4000,No,Sí,10-20,No,5-10,No,No,Sí,No
Masculino,26-30,Soltero(a),No,Barranco,Secundaria,Primaria,4-5,Parcialmente dependiente,EsSalud,No,Ingeniería de Sistemas,4.0,4-5,13-15,No,4.0,,3.0,4.0,No,Magni neque reiciendis est eum quis eveniet consequuntur.,No,A pie,30-60 min,Sí,Sí,3.0,Sí,2.0,Alquilada,500-1000,2000-4000,No,Sí,>20,Sí,5-10,No,No,Sí,Sí
Masculino,16-20,Soltero(a),No,La Victoria,Secundaria,Secundaria,6+,Totalmente dependiente,SIS,No,Ingeniería de Software,2.0,4-5,10-12,Sí,4.0,3.0,3.0,5.0,No,Ullam corrupti minima nulla enim unde rem atque atque tenetur quisquam dignissimos aperiam.,No,Público,30-60 min,Sí,No,4.0,No,3.0,Propia,0,<1000,Sí,No,<10,Sí,5-10,No,No,Sí,Sí
Masculino,16-20,Soltero(a),No,Punta Negra,Primaria,Secundaria,6+,Totalmente dependiente,SIS,No,Ingeniería de Software,2.0,4-5,16+,No,4.0,2.0,5.0,2.0,No,Beatae ipsa libero repellendus commodi esse aliquid sint non delectus iusto expedita.,No,Público,<30 min,Sí,Sí,4.0,Sí,5.0,Alojado,0,>4000,No,No,<10,Sí,,No,No,Sí,Sí
Masculino,26-30,Casado(a),No,San Juan de Lurigancho,Primaria,Primaria,1-3,Totalmente dependiente,SIS,No,Ingeniería de Sistemas,9.0,6 o más,16+,Sí,4.0,4.0,4.0,3.0,No,Cum reprehenderit sint illum fugit adipisci soluta minus deleniti autem.,No,Privado,30-60 min,Sí,Sí,2.0,No,2.0,Alquilada,0,>4000,,No,>20,Sí,5-10,No,Sí,Sí,No
Masculino,21-25,Soltero(a),No,Villa María del Triunfo,,Técnico,4-5,Parcialmente dependiente,Privado,Sí,Ingeniería de Sistemas,9.0,4-5,10-12,No,1.0,4.0,1.0,4.0,No,Similique dolore molestias ipsa odit exercitationem vel placeat numquam mollitia magnam.,No,Público,<30 min,No,Sí,4.0,Sí,2.0,Residencia,0,1000-2000,No,No,<10,Sí,>10,No,No,Sí,Sí
Masculino,21-25,Soltero(a),No,Ate,Postgrado,Secundaria,1-3,Parcialmente dependiente,EsSalud,No,Ingeniería de Software,5.0,4-5,10-12,No,2.0,4.0,4.0,3.0,No,Dicta vitae nulla voluptatibus ad aspernatur nulla vitae.,No,Privado,>1 h,Sí,Sí,1.0,No,3.0,Alquilada,,1000-2000,No,No,>20,Sí,>10,No,Sí,No,Sí
Masculino,26-30,Soltero(a),No,San Borja,Universitario,Primaria,1-3,Totalmente dependiente,EsSalud,No,Ingeniería de Sistemas,10.0,4-5,<10,No,5.0,3.0,4.0,1.0,No,Eius dolore minima ipsam quos error iure ipsam molestias.,,Público,30-60 min,Sí,Sí,4.0,Sí,3.0,Propia,0,<1000,No,Sí,10-20,Sí,5-10,No,No,No,No
Masculino,21-25,Soltero(a),No,Santiago de Surco,Secundaria,,6+,Totalmente dependiente,Ninguno,No,Ingeniería de Sistemas,5.0,4-5,13-15,No,4.0,3.0,4.0,3.0,No,Sed accusamus cupiditate esse possimus eaque.,No,Público,<30 min,Sí,Sí,1.0,Sí,4.0,Propia,0,1000-2000,No,No,<10,No,5-10,No,,Sí,No
Femenino,16-20,Soltero(a),No,San Bartolo,Secundaria,Primaria,6+,Totalmente dependiente,EsSalud,No,Ingeniería de Software,8.0,3,13-15,No,4.0,2.0,4.0,3.0,No,Placeat dicta optio impedit velit voluptatum totam amet facilis ipsam ea.,No,Público,30-60 min,Sí,Sí,3.0,No,5.0,Alojado,0,1000-2000,No,Sí,<10,Sí,<5,No,No,Sí,Sí
Masculino,21-25,Soltero(a),No,La Molina,Secundaria,Universitario,6+,Totalmente dependiente,EsSalud,No,Ingeniería de Sistemas,8.0,6 o más,<10,Sí,3.0,2.0,4.0,3.0,No,Architecto adipisci beatae doloribus dicta aperiam adipisci.,No,Público,<30 min,,Sí,3.0,No,3.0,Propia,0,1000-2000,Sí,No,,Sí,5-10,No,Sí,Sí,Sí
Masculino,16-20,Soltero(a),No,Villa El Salvador,Primaria,Secundaria,6+,Mayormente dependiente,EsSalud,No,Ingeniería de Sistemas,8.0,3,13-15,No,4.0,3.0,2.0,2.0,No,Ducimus eos dolor officia excepturi cumque.,No,Privado,<30 min,Sí,Sí,1.0,No,1.0,Propia,500-1000,<1000,Sí,Sí,10-20,Sí,5-10,No,Sí,Sí,Sí
Femenino,30+,Soltero(a),Sí,Rímac,Secundaria,Técnico,6+,Mayormente dependiente,SIS,No,Ingeniería de Software,4.0,6 o más,13-15,No,5.0,5.0,2.0,3.0,No,Reiciendis amet vitae similique dolores repudiandae.,No,Público,30-60 min,Sí,Sí,3.0,No,4.0,Alquilada,<500,<1000,No,Sí,10-20,No,5-10,No,No,No,No
Masculino,26-30,Soltero(a),No,Santa Anita,Primaria,Primaria,1-3,Parcialmente dependiente,EsSalud,No,Ingeniería de Software,1.0,3,10-12,Sí,5.0,2.0,3.0,1.0,No,Dolorem quia nam doloribus soluta quae ipsam alias iure qui consectetur.,No,Público,>1 h,No,No,2.0,Sí,4.0,Residencia,,2000-4000,No,Sí,10-20,Sí,<5,No,Sí,No,No
Masculino,16-20,Casado(a),No,Puente Piedra,Secundaria,Secundaria,1-3,Mayormente dependiente,Ninguno,No,Ingeniería de Sistemas,3.0,,16+,Sí,5.0,3.0,2.0,3.0,No,Quae rerum occaecati aspernatur iusto molestias dolor harum dolore.,No,Público,30-60 min,Sí,Sí,3.0,No,2.0,,0,<1000,No,No,10-20,Sí,5-10,No,Sí,No,No
Masculino,16-20,Soltero(a),No,Breña,Técnico,Primaria,6+,Parcialmente dependiente,Privado,No,Ingeniería de Software,6.0,6 o más,16+,No,1.0,2.0,4.0,4.0,No,Nesciunt ducimus aut officia tempora sed laborum.,No,A pie,30-60 min,Sí,No,2.0,Sí,1.0,Alquilada,<500,<1000,Sí,Sí,<10,No,>10,No,No,Sí,No
Masculino,30+,Soltero(a),No,San Juan de Miraflores,Universitario,Primaria,1-3,Minimamente dependiente,EsSalud,No,Ingeniería de Sistemas,7.0,4-5,,Sí,,1.0,3.0,2.0,Sí,Unde facilis excepturi eaque nulla accusamus perspiciatis hic ullam porro velit.,Yes,Público,<30 min,Sí,Sí,2.0,No,4.0,Alquilada,0,<1000,No,No,10-20,Sí,<5,Sí,Sí,No,No
Masculino,26-30,Soltero(a),No,Lurigancho,Secundaria,Universitario,1-3,No dependo económicamente,Privado,No,Ingeniería de Sistemas,8.0,4-5,<10,No,3.0,2.0,2.0,4.0,No,Perferendis necessitatibus nam est minima sequi.,No,A pie,30-60 min,Sí,No,1.0,No,1.0,Alojado,0,1000-2000,No,No,<10,No,<5,No,Sí,Sí,Sí
Masculino,16-20,Casado(a),No,La Victoria,Primaria,Primaria,1-3,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,5.0,3,<10,No,2.0,3.0,1.0,2.0,No,Explicabo natus occaecati porro earum labore sit voluptatibus perferendis exercitationem harum quaerat.,No,Público,30-60 min,Sí,Sí,1.0,No,4.0,Propia,<500,1000-2000,Sí,Sí,>20,Sí,5-10,No,No,Sí,No
Masculino,21-25,Soltero(a),No,Breña,Secundaria,Secundaria,1-3,Parcialmente dependiente,SIS,No,Ingeniería de Sistemas,6.0,4-5,10-12,No,4.0,3.0,3.0,4.0,No,Hic ipsum minus dicta pariatur dicta culpa omnis ullam beatae.,No,Público,>1 h,Sí,Sí,2.0,No,4.0,Propia,>1000,2000-4000,No,No,<10,Sí,5-10,No,Sí,No,No
Masculino,26-30,Soltero(a),No,Breña,Secundaria,Secundaria,6+,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,3.0,6 o más,13-15,Sí,4.0,4.0,4.0,4.0,No,Sunt repellendus quos voluptatem incidunt aperiam sint ad officia ea.,No,Público,<30 min,Sí,No,3.0,No,5.0,Residencia,0,<1000,No,,>20,Sí,<5,No,Sí,No,No
Masculino,21-25,Soltero(a),,,Técnico,Técnico,4-5,No dependo económicamente,EsSalud,No,Ingeniería de Sistemas,6.0,4-5,13-15,No,1.0,4.0,4.0,5.0,Sí,Eius rerum voluptatem quibusdam eligendi corrupti dolores.,Yes,Público,>1 h,Sí,Sí,4.0,No,3.0,Alquilada,0,1000-2000,No,No,>20,No,>10,No,No,No,Sí
Masculino,,Soltero(a),No,San Martín de Porres,Universitario,Secundaria,4-5,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,1.0,4-5,13-15,No,4.0,,4.0,2.0,No,Culpa dolorum aliquam necessitatibus odit temporibus laboriosam perferendis sint nam nesciunt voluptatum delectus ex.,No,Público,>1 h,Sí,Sí,3.0,No,3.0,Alquilada,0,<1000,No,Sí,<10,No,<5,No,Sí,No,No
Masculino,16-20,Otro,No,Jesús María,Universitario,Secundaria,1-3,Minimamente dependiente,Ninguno,No,Ingeniería de Sistemas,5.0,4-5,13-15,No,5.0,2.0,4.0,2.0,,Ex sunt esse esse consequuntur architecto.,Yes,Público,30-60 min,Sí,Sí,3.0,,3.0,Residencia,0,1000-2000,No,Sí,10-20,Sí,<5,No,No,Sí,Sí
,16-20,Otro,Sí,Punta Negra,Primaria,Universitario,4-5,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,10.0,4-5,10-12,No,4.0,1.0,5.0,1.0,No,Pariatur facere quis id dicta officia et eum.,No,Privado,30-60 min,Sí,Sí,1.0,,5.0,Residencia,0,<1000,No,Sí,>20,Sí,5-10,No,No,No,No
Masculino,21-25,Soltero(a),No,Magdalena del Mar,,Universitario,4-5,Parcialmente dependiente,EsSalud,,Ingeniería de Software,1.0,6 o más,16+,No,4.0,5.0,3.0,3.0,Sí,Quos itaque nihil dolor minus ut architecto nemo necessitatibus.,Yes,Público,<30 min,Sí,Sí,3.0,No,1.0,Alquilada,0,1000-2000,Sí,Sí,10-20,Sí,5-10,No,Sí,Sí,Sí
Femenino,16-20,Otro,No,San Juan de Miraflores,Secundaria,Secundaria,1-3,Mayormente dependiente,Privado,No,Ingeniería de Sistemas,9.0,4-5,10-12,No,4.0,4.0,4.0,1.0,No,Ea laborum itaque ipsa fuga excepturi similique.,No,,>1 h,Sí,Sí,4.0,No,5.0,Propia,500-1000,1000-2000,No,No,10-20,Sí,5-10,No,Sí,No,Sí
Masculino,21-25,Soltero(a),No,Chorrillos,Secundaria,Secundaria,4-5,Mayormente dependiente,Privado,No,Ingeniería de Sistemas,2.0,4-5,16+,No,4.0,5.0,3.0,2.0,No,Quasi nemo est ullam libero tempora libero et praesentium blanditiis.,No,Público,30-60 min,Sí,Sí,4.0,No,2.0,Alquilada,0,2000-4000,No,Sí,10-20,Sí,5-10,No,No,Sí,No
Masculino,26-30,Soltero(a),No,Lurigancho,Primaria,Primaria,6+,Parcialmente dependiente,SIS,Sí,Ingeniería de Software,10.0,,10-12,No,5.0,3.0,3.0,2.0,Sí,Possimus error ratione illum sequi quia cum dicta quae cumque repudiandae cupiditate.,Yes,Público,30-60 min,Sí,Sí,,,3.0,Alojado,0,<1000,Sí,Sí,10-20,No,5-10,No,No,Sí,Sí
Masculino,16-20,Casado(a),No,Santa María del Mar,Universitario,Universitario,1-3,Parcialmente dependiente,SIS,Sí,Ingeniería de Sistemas,3.0,3,13-15,No,4.0,5.0,3.0,5.0,No,,No,Privado,30-60 min,No,Sí,2.0,No,1.0,Residencia,0,<1000,No,Sí,<10,Sí,<5,No,Sí,Sí,No
Masculino,21-25,Soltero(a),No,Ate,Secundaria,Primaria,1-3,Totalmente dependiente,EsSalud,No,Ingeniería de Software,4.0,4-5,10-12,Sí,4.0,4.0,2.0,3.0,No,Quibusdam quos dolorum accusamus fuga animi.,No,Público,30-60 min,Sí,No,3.0,No,2.0,Alojado,0,<1000,Sí,Sí,>20,Sí,5-10,No,Sí,No,Sí
Masculino,16-20,Soltero(a),No,Ancón,Postgrado,Universitario,6+,Totalmente dependiente,,Sí,Ingeniería de Software,6.0,4-5,10-12,No,3.0,2.0,4.0,3.0,No,Quisquam ad cum praesentium cumque rem minima amet officiis eligendi.,No,Público,30-60 min,No,Sí,4.0,No,1.0,Propia,<500,,No,No,>20,Sí,5-10,No,No,No,Sí
Masculino,26-30,Soltero(a),No,San Luis,Primaria,Primaria,6+,Parcialmente dependiente,EsSalud,No,Ingeniería de Sistemas,7.0,4-5,10-12,No,5.0,3.0,4.0,3.0,Sí,Inventore aut vero illo corrupti inventore quod quo cupiditate molestiae facilis culpa veniam molestiae.,Yes,Público,30-60 min,Sí,Sí,2.0,No,4.0,Alquilada,<500,1000-2000,No,Sí,>20,Sí,<5,No,Sí,No,No
Masculino,16-20,Soltero(a),No,San Isidro,Primaria,Postgrado,1-3,Mayormente dependiente,Privado,No,Ingeniería de Software,4.0,4-5,10-12,Sí,4.0,3.0,3.0,4.0,No,Ratione vero aliquid vel corrupti sequi ipsum placeat cumque perferendis.,No,Público,,Sí,Sí,4.0,No,4.0,Propia,0,1000-2000,No,No,<10,Sí,<5,No,No,No,No
Masculino,16-20,Soltero(a),No,Los Olivos,Secundaria,,4-5,Minimamente dependiente,EsSalud,No,Ingeniería de Software,8.0,4-5,,,5.0,3.0,2.0,3.0,No,,No,Público,30-60 min,Sí,Sí,4.0,No,4.0,Alojado,>1000,1000-2000,No,No,10-20,No,5-10,No,No,Sí,No
Masculino,16-20,Soltero(a),No,Punta Negra,,Primaria,1-3,Mayormente dependiente,Ninguno,No,Ingeniería de Sistemas,10.0,4-5,13-15,No,,5.0,4.0,3.0,No,Perspiciatis nobis iste tempora eius quibusdam repellat provident commodi quas dolorum.,No,Público,<30 min,Sí,No,2.0,Sí,2.0,Propia,0,1000-2000,No,No,,Sí,<5,No,No,Sí,No
Masculino,21-25,Soltero(a),No,Los Olivos,,Primaria,4-5,Parcialmente dependiente,Ninguno,Sí,Ingeniería de Software,9.0,4-5,16+,Sí,4.0,2.0,3.0,5.0,Sí,Repellat fugiat exercitationem adipisci corporis excepturi quidem.,Yes,Público,30-60 min,,Sí,1.0,No,3.0,Alquilada,>1000,1000-2000,No,No,>20,,5-10,No,No,Sí,No
Masculino,26-30,Soltero(a),No,,Secundaria,Secundaria,1-3,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,8.0,4-5,10-12,No,4.0,4.0,3.0,4.0,No,Accusamus provident impedit numquam eaque laboriosam.,No,Privado,<30 min,Sí,No,5.0,No,1.0,Alquilada,0,<1000,No,No,<10,Sí,5-10,No,No,Sí,No
Masculino,21-25,Soltero(a),No,Jesús María,Secundaria,Secundaria,1-3,Totalmente dependiente,Ninguno,No,Ingeniería de Software,4.0,3,<10,Sí,4.0,1.0,4.0,3.0,,Doloribus at illum dicta tenetur ea animi delectus itaque magni repellat quas aspernatur.,,Público,30-60 min,Sí,Sí,2.0,No,4.0,Propia,0,1000-2000,No,No,<10,,5-10,No,No,No,No
Femenino,16-20,Soltero(a),No,Ancón,Primaria,Universitario,1-3,,SIS,No,Ingeniería de Sistemas,4.0,6 o más,<10,Sí,4.0,,3.0,3.0,No,Beatae eveniet odio soluta vitae ipsam nobis et optio eius reiciendis exercitationem minus.,No,Público,<30 min,Sí,Sí,1.0,Sí,2.0,Propia,0,2000-4000,No,No,,No,5-10,No,Sí,No,
,21-25,,No,San Martín de Porres,Primaria,Universitario,1-3,Minimamente dependiente,Ninguno,No,Ingeniería de Software,7.0,4-5,<10,Sí,3.0,4.0,2.0,3.0,No,Voluptatibus esse est voluptas repudiandae praesentium fuga unde similique quis quas atque ullam.,No,Privado,30-60 min,Sí,No,1.0,Sí,4.0,Residencia,<500,1000-2000,No,Sí,10-20,Sí,<5,No,No,Sí,No
Masculino,16-20,Soltero(a),No,Chorrillos,Primaria,Secundaria,4-5,,Ninguno,No,Ingeniería de Software,4.0,3,<10,No,4.0,5.0,3.0,1.0,No,Soluta corrupti doloribus architecto optio fuga beatae totam nostrum error officia rem reprehenderit.,No,Público,<30 min,No,Sí,2.0,No,4.0,Propia,0,1000-2000,No,Sí,10-20,Sí,5-10,No,No,Sí,Sí
Masculino,21-25,Soltero(a),Sí,Lurigancho,Secundaria,Postgrado,6+,Mayormente dependiente,EsSalud,Sí,Ingeniería de Sistemas,3.0,3,13-15,Sí,3.0,1.0,,5.0,No,Natus praesentium natus sit ratione esse dolore quibusdam ullam velit eveniet voluptas.,No,Público,30-60 min,Sí,Sí,3.0,No,1.0,Alquilada,0,<1000,Sí,Sí,<10,Sí,>10,No,Sí,Sí,Sí
Masculino,26-30,Divorciado(a),No,Independencia,,Secundaria,1-3,Mayormente dependiente,SIS,Sí,Ingeniería de Software,1.0,4-5,<10,Sí,1.0,2.0,,4.0,No,Sunt enim aperiam ullam labore nihil occaecati illo consequatur cumque quas esse.,No,Público,<30 min,Sí,No,2.0,No,3.0,Propia,0,2000-4000,No,Sí,10-20,No,<5,No,No,No,Sí
